Verify,Finalize,Follow-Up,Session Date,Moved From Facility,Spawning Location,Spawning Location Is Offsite,Spawning Offsite Owner Facility,Spawning Offsite Location Latitude,Spawning Offsite Location Longitude,Spawning Offsite Location Description,Spawning Session Name,Is Import,Is Group Session,Import Custom,Spawning Session Lot #,Cross ID,Spawn ID,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Spawning Ratio,Stock,Stock Agency,Stock Facility,Stock Description,Session Progeny,Brood Year,Spawning Session Comments,Species,Run,Egg Weight(g),Estimated Egg Count,Edit Spawn Cross Notes,Immediate Container,Times Used,Length,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria End Date,Age Criteria Start Date,Age Designation,Spawn Status,Living State,Why Not Spawned,Moved From,Moved From Is Offsite,Offsite Moved From Owner Facility,Offsite Moved From Latitude,Offsite Moved From Longitude,Offsite Moved From Location Description,Source Trap Facility,Source Trap,Moved To,Moved To Is Offsite,Offsite Moved To Owner Facility,Offsite Moved To Latitude,Offsite Moved To Longitude,Offsite Moved To Location Description,Moved To Facility,Release Site,Release Site Latitude,Release Site Longitude,Disposition,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,GEN Sample,Samples,Conditions,Notes
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F103_Lookingglass Egg Room/Tray107,M104,Male,Unknown,Not Existing Adipose Clipped [Mark AD]  and Existing Coded Wire Tag-Unknown [Tag CWT-UNK],Unknown origin: missing Adipose clip and CWT presence was not recorded,NA,NA,oregon,8/5/2021,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray107,1,NA,FALSE,NA,NA,NA,NA,NA,SpawnedNotKilled,Alive,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,UNC,1,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F104_Lookingglass Egg Room/Tray108,M104,Male,Unknown,Not Existing Adipose Clipped [Mark AD]  and Existing Coded Wire Tag-Unknown [Tag CWT-UNK],Unknown origin: missing Adipose clip and CWT presence was not recorded,NA,NA,oregon,8/5/2021,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray108,1,NA,FALSE,NA,NA,NA,NA,NA,SpawnedNotKilled,Alive,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,UNC,1,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F51_Lookingglass Egg Room/Tray55,M51,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray55,1,NA,FALSE,NA,NA,NA,NA,NA,SpawnedNotKilled,Alive,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,AD,1,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F52_Lookingglass Egg Room/Tray56,M51,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray56,1,NA,FALSE,NA,NA,NA,NA,NA,SpawnedNotKilled,Alive,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,AD,1,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F55_Lookingglass Egg Room/Tray59,M55,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray59,1,747,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_79,SNOUT 21R2302,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F56_Lookingglass Egg Room/Tray60,M55,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray60,1,747,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_79,SNOUT 21R2302,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F75_Lookingglass Egg Room/Tray79,F75,Female,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray79,1,782,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_100,"FR 21F-392,  SCALE 21S-898",NA,MEDIUM EGG MASS
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F103_Lookingglass Egg Room/Tray107,F103,Female,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray107,1,726,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,"AD, LOP","1, 3",NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_147,SNOUT 21R2330,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F63_Lookingglass Egg Room/Tray67,M63,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray67,1,844,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_85,SNOUT 21R2303,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F64_Lookingglass Egg Room/Tray68,M63,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray68,1,844,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_85,SNOUT 21R2303,NA,NA
FALSE,FALSE,FALSE,8/31/2021 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/31/2021 LGH Spawning Room (Lot #29.21.502), 8:00 AM",FALSE,FALSE,NA,29.21.502,F105_Lookingglass Egg Room/Tray109,M106,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,1 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2021,NA,Chinook,Spring,NA,4350,NA,Lookingglass Egg Room/Tray109,unknown,785,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH 2021 Adult Holding Pond A - Imnaha,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,"AD, ROP","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK21S_138,NA,NA,NA
